uf_abb,uf_code,munic_code,munic_name,d_1997,d_1998,d_1999,d_2000,d_2001,d_2002,d_2003,d_2004,d_2005,d_2006,d_2007,d_2008,d_2009,d_2010,d_2011,d_2012,d_2013,d_2014,d_2015,d_2016,d_2017,d_2018,d_2019,d_2020,d_2021,d_2022,previous_mun_1997,previous_mun_1998,previous_mun_1999,previous_mun_2000,previous_mun_2001,previous_mun_2002,previous_mun_2003,previous_mun_2004,previous_mun_2005,previous_mun_2006,previous_mun_2007,previous_mun_2008,previous_mun_2009,previous_mun_2010,previous_mun_2011,previous_mun_2012,previous_mun_2013,previous_mun_2014,previous_mun_2015,previous_mun_2016,previous_mun_2017,previous_mun_2018,previous_mun_2019,previous_mun_2020,previous_mun_2021,previous_mun_2022
RO,11,1101104,Itapuã do Oeste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104,1101104
RO,11,1101203,Ministro Andreazza,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203,1101203
RO,11,1101302,Mirante da Serra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302,1101302
RO,11,1101401,Monte Negro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401,1101401
RO,11,1101435,Nova União,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435,1101435
RO,11,1101450,Parecis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450,1101450
RO,11,1101468,Pimenteiras do Oeste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468,1101468
RO,11,1101476,Primavera de Rondônia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476,1101476
RO,11,1101484,São Felipe D'Oeste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484,1101484
RO,11,1101492,São Francisco do Guaporé,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492,1101492
RO,11,1101500,Seringueiras,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500,1101500
RO,11,1101559,Teixeirópolis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559,1101559
RO,11,1101609,Theobroma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609,1101609
RO,11,1101708,Urupá,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708,1101708
RO,11,1101757,Vale do Anari,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757,1101757
RO,11,1101807,Vale do Paraíso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807,1101807
AC,12,1200013,Acrelândia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013,1200013
AC,12,1200054,Assis Brasil,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054,1200054
AC,12,1200104,Brasiléia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104,1200104
AC,12,1200138,Bujari,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138,1200138
AC,12,1200179,Capixaba,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179,1200179
